id,status,dom,res,debt,goal,inv,lump
SP3-00000,deficit,none,0,0,0,0,174043
SP3-00001,ok,reserve,5091,0,0,0,53828
SP3-00002,deficit,none,0,0,0,0,164676
SP3-00003,deficit,none,0,0,0,0,98399
SP3-00004,ok,goals+,0,0,0,9511,124852
SP3-00005,ok,goals+,0,0,366,1462,3001287
SP3-00006,deficit,none,0,0,0,0,0
SP3-00007,ok,goals+,0,0,14969,21485,265390
SP3-00008,ok,debt,0,223,0,0,226888
SP3-00009,deficit,none,0,0,0,0,134333
SP3-00010,ok,goals+,0,0,281310,214634,2923771
SP3-00011,ok,reserve,5325,0,0,0,0
SP3-00012,deficit,none,0,0,0,0,1898949
SP3-00013,ok,reserve,4901,0,0,0,0
SP3-00014,ok,reserve,43807,0,0,0,0
SP3-00015,deficit,none,0,0,0,0,0
SP3-00016,ok,reserve,5703,0,0,0,93216
SP3-00017,ok,goals+,0,0,9416,11168,1488631
SP3-00018,deficit,none,0,0,0,0,322713
SP3-00019,ok,goals+,0,0,1082,8930,56106
SP3-00020,ok,reserve,10129,0,0,0,0
SP3-00021,deficit,none,0,0,0,0,0
SP3-00022,ok,goals+,0,0,1131,7549,254131
SP3-00023,ok,reserve,33806,0,0,0,0
SP3-00024,ok,reserve,45703,0,0,0,0
SP3-00025,ok,debt,0,51810,0,0,164528
SP3-00026,deficit,none,0,0,0,0,0
SP3-00027,ok,reserve,2101,0,0,0,0
SP3-00028,ok,reserve,8116,0,0,0,0
SP3-00029,ok,reserve,8930,0,0,0,0
SP3-00030,deficit,none,0,0,0,0,2153768
SP3-00031,deficit,none,0,0,0,0,6606049
SP3-00032,ok,goals+,0,0,102,0,0
SP3-00033,deficit,none,0,0,0,0,2543543
SP3-00034,ok,reserve,2528,0,0,0,0
SP3-00035,deficit,none,0,0,0,0,0
SP3-00036,ok,reserve,29476,0,0,0,0
SP3-00037,deficit,none,0,0,0,0,0
SP3-00038,deficit,none,0,0,0,0,0
SP3-00039,ok,debt,0,5396,0,0,101719
SP3-00040,deficit,none,0,0,0,0,0
SP3-00041,deficit,none,0,0,0,0,0
SP3-00042,ok,debt,0,9764,0,0,439135
SP3-00043,ok,debt,0,2549,0,0,179959
SP3-00044,ok,goals+,0,0,46688,0,78102
SP3-00045,ok,reserve,6310,4467,0,0,0
SP3-00046,ok,reserve,1481,0,0,0,0
SP3-00047,ok,reserve,55344,0,0,0,0
SP3-00048,deficit,none,0,0,0,0,95742
SP3-00049,deficit,none,0,0,0,0,77896
SP3-00050,ok,debt,0,12021,0,0,40019
SP3-00051,deficit,none,0,0,0,0,426349
SP3-00052,deficit,none,0,0,0,0,121616
SP3-00053,ok,goals+,0,0,12440,82737,1666953
SP3-00054,ok,reserve,542,0,0,0,0
SP3-00055,ok,goals+,0,0,71564,286257,2831910
SP3-00056,ok,reserve,89255,0,0,0,0
SP3-00057,ok,debt,0,13390,0,0,56377
SP3-00058,deficit,none,0,0,0,0,3824234
SP3-00059,ok,debt,0,90253,0,0,2010633
SP3-00060,ok,goals+,0,0,1846,4309,396689
SP3-00061,ok,goals+,0,0,10857,25334,161291
SP3-00062,ok,goals+,0,0,0,45643,2346179
SP3-00063,ok,goals+,0,0,0,2789,416920
SP3-00064,deficit,none,0,0,0,0,0
