id,status,dom,res,debt,goal,inv,lump
SP3-00000,deficit,none,0,0,0,0,770277
SP3-00001,ok,reserve,5091,0,0,0,87549
SP3-00002,deficit,none,0,0,0,0,780526
SP3-00003,deficit,none,0,0,0,0,95911
SP3-00004,ok,goals+,0,0,1751,7760,124852
SP3-00005,ok,goals+,0,0,1828,0,3001288
SP3-00006,deficit,none,0,0,0,0,4041145
SP3-00007,ok,goals+,0,0,8016,28438,265391
SP3-00008,ok,debt,0,223,0,0,226888
SP3-00009,deficit,none,0,0,0,0,0
SP3-00010,ok,goals+,0,0,143926,352018,2923772
SP3-00011,ok,reserve,2663,2662,0,0,0
SP3-00012,deficit,none,0,0,0,0,410314
SP3-00013,ok,reserve,2451,2450,0,0,0
SP3-00014,ok,reserve,21904,21903,0,0,0
SP3-00015,deficit,none,0,0,0,0,0
SP3-00016,ok,reserve,2852,2851,0,0,93216
SP3-00017,ok,goals+,0,0,14377,6207,1488631
SP3-00018,deficit,none,0,0,0,0,569008
SP3-00019,ok,goals+,0,0,4329,5683,61850
SP3-00020,ok,debt,0,10129,0,0,41420
SP3-00021,deficit,none,0,0,0,0,0
SP3-00022,ok,goals+,0,0,3586,5094,254131
SP3-00023,ok,reserve,20284,0,13522,0,0
SP3-00024,ok,reserve,22852,22851,0,0,0
SP3-00025,ok,debt,0,51810,0,0,164529
SP3-00026,deficit,none,0,0,0,0,0
SP3-00027,ok,reserve,1051,1050,0,0,0
SP3-00028,ok,debt,2434,5682,0,0,0
SP3-00029,ok,reserve,5358,0,3572,0,0
SP3-00030,deficit,none,0,0,0,0,6983506
SP3-00031,deficit,none,0,0,0,0,6606050
SP3-00032,ok,goals+,0,0,102,0,0
SP3-00033,deficit,none,0,0,0,0,5414950
SP3-00034,ok,debt,1264,1264,0,0,0
SP3-00035,deficit,none,0,0,0,0,126714
SP3-00036,ok,reserve,29476,0,0,0,0
SP3-00037,deficit,none,0,0,0,0,149
SP3-00038,deficit,none,0,0,0,0,0
SP3-00039,ok,debt,0,5396,0,0,101720
SP3-00040,deficit,none,0,0,0,0,0
SP3-00041,deficit,none,0,0,0,0,0
SP3-00042,ok,debt,0,9764,0,0,439135
SP3-00043,ok,debt,0,2549,0,0,179960
SP3-00044,ok,goals+,0,0,46688,0,78103
SP3-00045,ok,debt,3233,7544,0,0,0
SP3-00046,ok,reserve,741,740,0,0,0
SP3-00047,ok,reserve,33733,0,21611,0,0
SP3-00048,deficit,none,0,0,0,0,426687
SP3-00049,deficit,none,0,0,0,0,792513
SP3-00050,ok,debt,0,12021,0,0,40019
SP3-00051,deficit,none,0,0,0,0,426349
SP3-00052,deficit,none,0,0,0,0,99994
SP3-00053,ok,goals+,0,0,14483,80694,1666954
SP3-00054,ok,debt,271,271,0,0,0
SP3-00055,ok,goals+,0,0,67220,290601,2831910
SP3-00056,ok,reserve,61443,0,27812,0,0
SP3-00057,ok,debt,0,13390,0,0,56377
SP3-00058,deficit,none,0,0,0,0,5860001
SP3-00059,ok,debt,0,90253,0,0,2010633
SP3-00060,ok,goals+,0,0,6155,0,396690
SP3-00061,ok,goals+,0,0,2489,33702,161291
SP3-00062,ok,goals+,0,0,0,45643,2346180
SP3-00063,ok,goals+,0,0,0,2789,416920
SP3-00064,deficit,none,0,0,0,0,372326
SP3-00065,ok,debt,0,49082,0,0,166835
SP3-00066,deficit,none,0,0,0,0,13953172
SP3-00067,ok,debt,0,25139,0,0,247347
SP3-00068,ok,goals+,0,0,15721,0,26964
SP3-00069,deficit,none,0,0,0,0,96541
SP3-00070,ok,reserve,13358,0,8904,0,0
SP3-00071,invalid,none,0,0,0,0,0
SP3-00072,deficit,none,0,0,0,0,1096028
SP3-00073,deficit,none,0,0,0,0,0
SP3-00074,deficit,none,0,0,0,0,0
SP3-00075,deficit,none,0,0,0,0,0
SP3-00076,ok,goals+,0,0,23516,4867,44757424
SP3-00077,deficit,none,0,0,0,0,9884978
SP3-00078,deficit,none,0,0,0,0,0
SP3-00079,ok,goals+,0,0,229,18947,0
SP3-00080,ok,goals+,0,0,0,175916,1042965
SP3-00081,ok,reserve,1314,0,876,0,0
SP3-00082,ok,goals+,0,0,33683,50076,12051218
SP3-00083,deficit,none,0,0,0,0,0
SP3-00084,ok,goals+,0,0,18258,25697,676856
SP3-00085,ok,debt,523,1221,0,0,0
SP3-00086,ok,goals+,0,0,4806,21769,103590
SP3-00087,deficit,none,0,0,0,0,0
SP3-00088,deficit,none,0,0,0,0,1079450
SP3-00089,deficit,none,0,0,0,0,0
SP3-00090,ok,debt,271,271,0,0,0
SP3-00091,deficit,none,0,0,0,0,0
