id,status,dom,res,debt,goal,inv,lump
SP3-00000,deficit,none,0,0,0,0,174043
SP3-00001,ok,debt,0,3055,0,2036,38628
SP3-00002,deficit,none,0,0,0,0,164676
SP3-00003,deficit,none,0,0,0,0,98399
SP3-00004,ok,goals+,0,0,0,9511,103204
SP3-00005,ok,reserve,915,0,228,685,3001287
SP3-00006,deficit,none,0,0,0,0,0
SP3-00007,ok,reserve,18228,0,12100,6126,265390
SP3-00008,ok,debt,0,134,0,89,226888
SP3-00009,deficit,none,0,0,0,0,134333
SP3-00010,ok,goals+,0,0,390792,105152,2923771
SP3-00011,ok,debt,2130,2130,1065,0,0
SP3-00012,deficit,none,0,0,0,0,1990013
SP3-00013,ok,reserve,3431,1470,0,0,0
SP3-00014,ok,reserve,17524,17522,8761,0,0
SP3-00015,deficit,none,0,0,0,0,0
SP3-00016,ok,reserve,2282,2281,547,593,93216
SP3-00017,ok,goals+,0,0,13608,6976,1488631
SP3-00018,deficit,none,0,0,0,0,569008
SP3-00019,ok,goals+,0,0,1080,8932,56106
SP3-00020,ok,reserve,4053,4051,2025,0,0
SP3-00021,deficit,none,0,0,0,0,0
SP3-00022,ok,goals+,0,0,1249,7431,240557
SP3-00023,ok,reserve,16903,0,16903,0,0
SP3-00024,ok,reserve,18282,18281,9140,0,0
SP3-00025,ok,reserve,20725,20724,9238,1123,31722
SP3-00026,deficit,none,0,0,0,0,0
SP3-00027,ok,reserve,841,840,0,420,0
SP3-00028,ok,debt,4058,4058,0,0,0
SP3-00029,ok,reserve,4465,0,4465,0,0
SP3-00030,deficit,none,0,0,0,0,6983505
SP3-00031,deficit,none,0,0,0,0,6606049
SP3-00032,ok,goals+,0,0,102,0,0
SP3-00033,deficit,none,0,0,0,0,5414949
SP3-00034,ok,reserve,1770,758,0,0,0
SP3-00035,deficit,none,0,0,0,0,0
SP3-00036,ok,reserve,14738,0,0,14738,0
SP3-00037,deficit,none,0,0,0,0,0
SP3-00038,deficit,none,0,0,0,0,0
SP3-00039,ok,debt,1618,3239,0,539,101719
SP3-00040,deficit,none,0,0,0,0,0
SP3-00041,deficit,none,0,0,0,0,0
SP3-00042,ok,reserve,3907,3905,1952,0,0
SP3-00043,ok,debt,0,1530,1019,0,0
SP3-00044,ok,goals+,0,0,46688,0,78102
SP3-00045,ok,reserve,5389,5388,0,0,0
SP3-00046,ok,reserve,593,592,296,0,0
SP3-00047,ok,reserve,27673,0,25247,2424,0
SP3-00048,deficit,none,0,0,0,0,426687
SP3-00049,deficit,none,0,0,0,0,792512
SP3-00050,ok,reserve,4809,4808,0,2404,0
SP3-00051,deficit,none,0,0,0,0,426349
SP3-00052,deficit,none,0,0,0,0,121616
SP3-00053,ok,goals+,0,0,14483,80694,1666953
SP3-00054,ok,reserve,380,162,0,0,0
SP3-00055,ok,goals+,0,0,89455,268366,2831910
SP3-00056,ok,reserve,89255,0,0,0,0
